date, total
2019-04-27 03:00:00, 62
2019-04-27 04:00:00, 87
2019-04-27 05:00:00, 32
2019-04-27 06:00:00, 72
2019-04-27 07:00:00, 81
2019-04-27 08:00:00, 78
2019-04-27 09:00:00, 83
2019-04-27 10:00:00, 98
2019-04-27 11:00:00, 104
2019-04-27 12:00:00, 115
2019-04-27 13:00:00, 118
2019-04-27 14:00:00, 53
2019-04-27 15:00:00, 32
2019-04-27 16:00:00, 50
2019-04-27 17:00:00, 58
2019-04-27 18:00:00, 68
2019-04-27 19:00:00, 99
2019-04-27 20:00:00, 91
2019-04-27 21:00:00, 33
2019-04-27 22:00:00, 20
2019-04-27 23:00:00, 44
2019-04-28 00:00:00, 112
2019-04-28 01:00:00, 167
2019-04-28 02:00:00, 89
2019-04-28 03:00:00, 80
2019-04-28 04:00:00, 142
2019-04-28 05:00:00, 154
2019-04-28 06:00:00, 287
2019-04-28 07:00:00, 84
2019-04-28 08:00:00, 61
2019-04-28 09:00:00, 62
2019-04-28 10:00:00, 35
2019-04-28 11:00:00, 64
2019-04-28 12:00:00, 44
2019-04-28 13:00:00, 50
2019-04-28 14:00:00, 27
2019-04-28 15:00:00, 32
2019-04-28 16:00:00, 26
2019-04-28 17:00:00, 41
2019-04-28 18:00:00, 43
2019-04-28 19:00:00, 7
2019-04-28 20:00:00, 17
2019-04-28 21:00:00, 207
2019-04-28 22:00:00, 176
2019-04-28 23:00:00, 114
2019-04-29 00:00:00, 22
2019-04-29 01:00:00, 25
2019-04-29 02:00:00, 32
2019-04-29 03:00:00, 56
2019-04-29 04:00:00, 117
2019-04-29 05:00:00, 130
2019-04-29 06:00:00, 115
2019-04-29 07:00:00, 77
2019-04-29 08:00:00, 80
2019-04-29 09:00:00, 36
2019-04-29 10:00:00, 45
2019-04-29 11:00:00, 25
2019-04-29 12:00:00, nan
2019-04-29 13:00:00, nan
2019-04-29 14:00:00, nan
2019-04-29 15:00:00, 52
2019-04-29 16:00:00, 40
2019-04-29 17:00:00, 28
2019-04-29 18:00:00, 30
2019-04-29 19:00:00, 21
2019-04-29 20:00:00, 19
2019-04-29 21:00:00, 24
2019-04-29 22:00:00, 29
2019-04-29 23:00:00, 15
2019-04-30 00:00:00, 10
2019-04-30 01:00:00, 15
2019-04-30 02:00:00, 8
2019-04-30 03:00:00, 15
2019-04-30 04:00:00, 26
2019-04-30 05:00:00, 44
2019-04-30 06:00:00, 85
2019-04-30 07:00:00, 55
2019-04-30 08:00:00, 40
2019-04-30 09:00:00, 36
2019-04-30 10:00:00, 47
2019-04-30 11:00:00, 47
2019-04-30 12:00:00, 66
2019-04-30 13:00:00, 67
2019-04-30 14:00:00, 82
2019-04-30 15:00:00, 82
2019-04-30 16:00:00, 75
2019-04-30 17:00:00, 87
2019-04-30 18:00:00, 57
2019-04-30 19:00:00, 73
2019-04-30 20:00:00, 49
2019-04-30 21:00:00, 33
2019-04-30 22:00:00, 39
2019-04-30 23:00:00, 37
2019-05-01 00:00:00, 23
2019-05-01 01:00:00, 30
2019-05-01 02:00:00, 18
2019-05-01 03:00:00, 217
2019-05-01 04:00:00, 24
2019-05-01 05:00:00, 282
2019-05-01 06:00:00, 169
2019-05-01 07:00:00, 215
2019-05-01 08:00:00, 151
2019-05-01 09:00:00, 123
2019-05-01 10:00:00, 107
2019-05-01 11:00:00, 60
2019-05-01 12:00:00, 126
2019-05-01 13:00:00, 174
2019-05-01 14:00:00, 163
2019-05-01 15:00:00, 224
2019-05-01 16:00:00, 227
2019-05-01 17:00:00, 270
2019-05-01 18:00:00, 348
2019-05-01 19:00:00, 272
2019-05-01 20:00:00, 182
2019-05-01 21:00:00, 148
2019-05-01 22:00:00, 121
2019-05-01 23:00:00, 103
2019-05-02 00:00:00, 98
2019-05-02 01:00:00, 70
2019-05-02 02:00:00, 73
2019-05-02 03:00:00, 82
2019-05-02 04:00:00, 100
2019-05-02 05:00:00, 142
2019-05-02 06:00:00, 261
2019-05-02 07:00:00, 248
2019-05-02 08:00:00, 237
2019-05-02 09:00:00, 430
2019-05-02 10:00:00, 63
2019-05-02 11:00:00, 78
2019-05-02 12:00:00, 57
2019-05-02 13:00:00, 69
2019-05-02 14:00:00, 90
2019-05-02 15:00:00, 85
2019-05-02 16:00:00, 22
2019-05-02 17:00:00, 74
2019-05-02 18:00:00, 50
2019-05-02 19:00:00, 36
2019-05-02 20:00:00, 25
2019-05-02 21:00:00, 7
2019-05-02 22:00:00, 9
2019-05-02 23:00:00, 5
2019-05-03 00:00:00, 5
2019-05-03 01:00:00, 8
2019-05-03 02:00:00, 9
2019-05-03 03:00:00, 7
